Ticker,Categoria,Subcategoria,Duration_Bucket,Descricao
AAPL,Tecnologia,-,-,Apple Inc.
MSFT,Tecnologia,-,-,Microsoft Corporation
NVDA,Tecnologia,-,-,NVIDIA Corporation
GOOGL,Tecnologia,-,-,Alphabet Inc. (Google) Classe A
META,Tecnologia,-,-,Meta Platforms Inc.
AMZN,Consumo Discricionario,-,-,Amazon.com Inc.
TSLA,Consumo Discricionario,-,-,Tesla Inc.
HD,Consumo Discricionario,-,-,Home Depot Inc.
MCD,Consumo Discricionario,-,-,McDonald's Corporation
JPM,Financeiro,-,-,JPMorgan Chase & Co.
V,Financeiro,-,-,Visa Inc.
MA,Financeiro,-,-,Mastercard Inc.
BAC,Financeiro,-,-,Bank of America Corporation
UNH,Saude,-,-,UnitedHealth Group Inc.
JNJ,Saude,-,-,Johnson & Johnson
LLY,Saude,-,-,Eli Lilly and Company
XOM,Energia,-,-,Exxon Mobil Corporation
CVX,Energia,-,-,Chevron Corporation
PG,Consumo Basico,-,-,Procter & Gamble Co.
KO,Consumo Basico,-,-,Coca-Cola Company
SNDK,Tecnologia,-,-,Sandisk Corporation
SKHY,Tecnologia,-,-,SK hynix Inc. (ADR)
SPCX,Industrial,-,-,Space Exploration Technologies Corp. (SpaceX)
ORCL,Tecnologia,-,-,Oracle Corporation
