Ticker,Categoria,Subcategoria,Duration_Bucket,Descricao
SPY,Renda Variavel,EUA Large Cap,-,S&P 500
VTI,Renda Variavel,EUA Total Market,-,Mercado total de acoes dos EUA
VT,Renda Variavel,Global Total Market,-,Mercado total de acoes global (EUA + resto do mundo)
QQQ,Renda Variavel,EUA Nasdaq 100,-,Nasdaq 100 (peso alto em tecnologia)
IWM,Renda Variavel,EUA Small Cap,-,Small caps americanas (Russell 2000)
SPYI,Renda Variavel,EUA Large Cap com Renda,-,S&P 500 com estrategia de covered call para gerar renda
EEM,Renda Variavel,Emergentes Amplo,-,Acoes de mercados emergentes (MSCI EM)
VWO,Renda Variavel,Emergentes Amplo,-,Acoes de mercados emergentes (Vanguard)
EFA,Renda Variavel,Desenvolvidos ex-EUA,-,Acoes de mercados desenvolvidos fora dos EUA
VGK,Renda Variavel,Europa,-,Acoes da Europa desenvolvida
EWJ,Renda Variavel,Japao,-,Acoes do Japao
MCHI,Renda Variavel,China,-,Acoes da China
BIL,Renda Fixa,Treasury,Ultracurto,Treasury americano de curtissimo prazo (0-3 meses)
USFR,Renda Fixa,Treasury Flutuante,Ultracurto,Treasury de taxa flutuante (duration quase zero)
SHY,Renda Fixa,Treasury,Curto,Treasury americano de 1 a 3 anos
VTIP,Renda Fixa,TIPS,Curto,Titulos protegidos contra inflacao dos EUA (curta duration)
IEI,Renda Fixa,Treasury,Intermediario,Treasury americano de 3 a 7 anos
SPIB,Renda Fixa,Corporativo Investment Grade,Intermediario,Credito corporativo grau de investimento (duration intermediaria)
LQD,Renda Fixa,Corporativo Investment Grade,Intermediario,Credito corporativo grau de investimento amplo
SPTL,Renda Fixa,Treasury,Longo,Treasury americano de longo prazo (acima de 20 anos)
TLT,Renda Fixa,Treasury,Longo,Treasury americano de 20+ anos
SPHY,Renda Fixa,High Yield,Intermediario,Credito corporativo de alto rendimento (high yield)
HYG,Renda Fixa,High Yield,Intermediario,Credito corporativo de alto rendimento (high yield)
EMB,Renda Fixa,Divida Emergente,Intermediario,Divida soberana de emergentes em dolar
BNDX,Renda Fixa,Agregado Global,Intermediario,Renda fixa global ex-EUA com hedge cambial
GLD,Alternativos,Ouro,-,Ouro fisico
GDX,Alternativos,Mineradoras de Ouro,-,Empresas mineradoras de ouro
SLV,Alternativos,Prata,-,Prata fisica
DBC,Alternativos,Commodities Amplo,-,Cesta ampla de commodities
USO,Alternativos,Petroleo,-,Futuros de petroleo (WTI)
BITO,Alternativos,Bitcoin,-,Exposicao a bitcoin via futuros
BTCI,Alternativos,Bitcoin com Renda,-,Exposicao a bitcoin com estrategia de covered call para renda
IBIT,Alternativos,Bitcoin,-,Exposicao a bitcoin spot
UUP,Dolar/FX,Indice Dolar,-,Forca do dolar americano frente a uma cesta de moedas
